a list of the document IDs of the top 50 pages as sorted by PageRank, together with their PageRank values
('WT21-B37-76', 0.0026944744155488424)
('WT21-B37-75', 0.0015331790999983674)
('WT25-B39-116', 0.0014685014163258476)
('WT23-B21-53', 0.001373524938425741)
('WT24-B26-10', 0.0012761567441301838)
('WT24-B40-171', 0.0012452932176087864)
('WT23-B39-340', 0.001242913158324028)
('WT23-B37-134', 0.0012054214112259664)
('WT08-B18-400', 0.0011447772878379209)
('WT13-B06-284', 0.0011365580053119583)
('WT13-B06-273', 0.0010549245722371872)
('WT01-B18-225', 0.0009553819646804066)
('WT04-B27-720', 0.0009409643880874134)
('WT24-B26-46', 0.0008622382200878536)
('WT23-B19-156', 0.00082507070972647)
('WT04-B30-12', 0.0008166232564417596)
('WT25-B15-307', 0.0007972235352502556)
('WT07-B18-256', 0.000775037417361839)
('WT24-B40-167', 0.0007076287336773966)
('WT14-B03-220', 0.000698885966546407)
('WT18-B31-240', 0.000694225761176813)
('WT14-B03-227', 0.0006853161902724963)
('WT04-B40-202', 0.0006846808587291333)
('WT08-B19-222', 0.0006495325679505299)
('WT23-B20-363', 0.0006396360122161386)
('WT27-B28-203', 0.000627079718836474)
('WT13-B39-295', 0.0006215375109129309)
('WT13-B15-160', 0.0006198585719576169)
('WT12-B30-56', 0.0006024553556203923)
('WT10-B02-288', 0.0005844494037854843)
('WT14-B36-337', 0.0005617073225026675)
('WT21-B40-37', 0.0005471879888092862)
('WT21-B35-155', 0.0005456969794965083)
('WT23-B01-40', 0.0005408521292800558)
('WT08-B08-60', 0.0005361223089507773)
('WT22-B38-403', 0.000533578786250673)
('WT13-B39-321', 0.0005328954548184718)
('WT04-B22-268', 0.000532864118235412)
('WT14-B02-400', 0.0005328037061426222)
('WT18-B14-66', 0.0005295595740149621)
('WT06-B14-69', 0.0005191619761151687)
('WT23-B38-120', 0.0005186941409833774)
('WT06-B35-151', 0.0005169281255289373)
('WT10-B33-300', 0.0005167739665966521)
('WT14-B36-335', 0.0005158618622725161)
('WT14-B36-334', 0.0005158618622725161)
('WT14-B36-336', 0.0005158618622725161)
('WT14-B36-323', 0.0005158618622725161)
('WT06-B35-161', 0.0005150221641759413)
('WT27-B20-494', 0.0005144808704517443)
